deanery,places,num_first_pref
East Anglia,251,121
"Essex, Bedfordshire & Hertfordshire (EBH)",260,148
"Leicestershire, Northamptonshire & Rutland (LNR)",158,87
North Central and East London/North West London,562,1409
North West of England,786,810
Northern,329,293
Northern Ireland,236,185
Oxford,215,310
Peninsula,184,175
Scotland,812,805
Severn,261,310
South Thames,742,679
Trent,296,192
Wales,358,214
Wessex,290,216
West Midlands Central,180,266
West Midlands North,222,91
West Midlands South,152,87
Yorkshire and Humber,550,431
